Sample,Prin1,Prin2,Prin3,Prin4
GA,0.015629986,0.004979332,0.000628536,-0.00139151
GA,0.008878492,-0.006229218,-0.000861771,0.005570971
GA,0.020863474,0.00216174,-0.00075655,0.004717667
GA,0.009429113,-0.013642618,-0.000924855,0.005984622
GA,0.002946992,0.001468887,0.000922629,-0.004050313
GA,-0.001787146,-0.000139382,3.86587E-05,0.00142333
GA,-0.00622463,0.002348444,0.001289111,-0.003650061
GA,0.012521201,0.003870447,0.000989427,-0.002027142
GA,0.009923594,0.007974687,0.000130195,0.002674888
GA,0.003824062,-0.011758822,-0.000532591,0.005457805
GA,-0.007701099,-0.006198815,-0.00146554,0.010073333
GA,-0.00220919,0.010010166,0.002067486,-0.007352446
GA,0.015847944,0.001579427,4.11163E-05,0.001951045
GA,-0.012972131,0.010344589,0.000922353,-0.007247886
GA,-0.001650348,-0.005685252,-0.00029594,0.0005647
GA,-0.003614223,-0.012036601,-0.000304485,0.002273493
GA,0.018825504,0.00323431,0.000328934,0.000578532
GA,0.020893507,0.003361131,-0.000848993,0.005025099
GA,0.011609886,-0.000248276,0.000784105,-0.001535496
GA,-0.002450042,0.010099115,0.000276186,0.000292914
GA,0.010647818,0.0031417,0.000976482,-0.002260516
GA,0.018000697,0.002734628,-2.16403E-05,0.002385075
GA,0.005068156,-0.015676413,-0.000342115,0.003884437
GA,0.009019252,-0.003213174,0.000756024,-0.001841566
GA,0.019714354,-0.000398737,0.000278155,3.33526E-05
GA,0.014120287,0.000748557,0.00110819,-0.003089701
GA,0.011698179,0.000475623,0.000207062,0.000564882
GA,0.01054329,-0.002831631,-0.000421751,0.003834518
GA,0.002602742,-0.010131812,-0.000941331,0.00613619
GA,0.020693028,0.003767534,-0.00026139,0.002641249
GA,0.001333346,-0.006936284,-0.000721603,0.006222254
GA,0.019447186,0.003066282,-0.00057843,0.004216271
GA,-0.005005141,-0.01340612,-0.000842771,0.005634284
GA,0.01375503,-0.000294355,0.000612297,-0.00103943
GA,0.009301975,0.001587872,-9.49141E-05,0.002800386
GA,0.00028536,-0.007257159,0.002125999,-0.004275192
GA,-0.004725841,-0.020743691,0.000835599,-0.001780695
GA,0.020904853,0.002350639,-0.000706744,0.004834183
GA,-0.000881183,0.000887346,0.000473262,-0.001272507
GA,-0.002465243,-0.008295991,-0.000225871,0.002607751
GA,0.019004431,-2.32743E-05,-0.000610539,0.003744616
GA,-0.009189775,-0.001278633,0.001454649,-0.004614666
GA,-0.004730255,0.005726722,0.000563168,0.000456463
GA,0.020486456,0.003961633,-0.000704636,0.004911465
GA,-0.005176831,-0.007187076,0.000555111,0.000984716
GA,0.018344003,0.001390442,-0.000731805,0.006307734
GA,0.01871581,0.003515738,0.000427481,0.0004472
GA,0.016549187,0.002257712,7.41514E-05,0.00199981
GA,0.012912722,-0.000180302,0.000250578,0.000482077
GA,0.008715295,-0.003201523,0.00025396,0.000714814
GA,0.008680801,0.005380688,0.000712919,0.000127681
GA,0.019132442,0.000539237,-0.000139861,0.002154031
GA,0.021091675,0.003083611,-0.000635334,0.003818813
GA,-0.000416921,-0.003519242,0.000760273,-0.001474713
GA,0.016686765,0.003777906,-0.000660724,0.006599403
GA,0.018773826,-0.000150057,0.000187375,0.000722041
GA,0.003460919,0.004927639,0.000474793,-3.52962E-05
GA,0.003025121,-0.00953351,-0.000659259,0.004645889
GA,0.008465417,-0.007686994,-0.000913348,0.005595156
GA,0.007892261,0.000809057,0.000798491,-0.000858899
GA,-0.004654317,-0.001114947,0.000409732,-0.001694648
GA,0.017990734,0.001894046,0.001128988,-0.002756864
GA,0.008203248,0.004842267,0.001711638,-0.004171654
GA,0.01991306,0.001742653,0.000315541,0.000387761
GA,0.003984733,0.009287194,0.001213305,-0.002647086
GA,0.006695333,-0.006025166,0.000797715,-0.002842799
GA,0.012392825,-0.001001287,1.63123E-06,0.002022104
GA,0.020899338,0.003932596,-0.000285338,0.003322732
GA,0.018036242,-0.002652218,-0.000660819,0.004883428
GA,0.009466771,0.006753512,-0.000468109,0.004715656
GA,0.010177586,0.003308928,0.00012897,0.001542012
GA,0.010438657,0.002067849,0.001239826,-0.001520008
GA,-0.002613644,0.002571391,0.001449798,-0.004003677
GA,0.017353737,-0.000733666,0.000339882,0.000548961
GA,-0.003703778,0.000640564,0.000155153,0.002703886
GA,0.019016144,0.00241926,0.000588158,0.000383694
GA,0.013258894,-0.001483305,-0.000370745,0.003545995
GA,0.020327002,0.00261252,-0.000815425,0.005100023
GA,0.009653756,-0.005957057,-3.9234E-05,0.003796807
GA,0.003340201,-0.002393463,0.001300794,-0.001017771
GA,-0.001902095,0.007937717,-0.000536904,0.003557601
GA,0.016651493,-0.004892183,-0.000353321,0.00313717
GA,0.006501838,0.003604846,0.000952973,-0.000366411
GA,0.013288086,-0.000609812,0.000470847,-0.000335747
GA,0.011991062,0.003222404,0.001223292,-0.003261788
GA,0.011524799,-0.003418166,0.000473534,-0.000627091
GA,0.013436069,0.002831463,5.96823E-05,0.002077704
GA,0.01951146,0.002137873,-0.000385975,0.003234985
GA,0.017741593,-0.00188803,-0.000536146,0.003880842
GA,0.019369817,0.000681867,-0.000510654,0.003141003
GA,0.015409265,0.001984441,0.000879354,-0.001485183
GA,0.011457028,-0.001080118,-1.06057E-08,0.001379554
GA,-0.011124303,0.008959924,-0.000806687,0.005726344
GA,0.00698299,-0.003956404,5.09983E-05,0.001245337
GA,-0.002894733,0.005197711,0.000125371,0.00302176
GA,0.018973428,0.001630529,0.000278429,0.000999407
GA,0.01428951,0.000518242,0.000552817,-0.000495334
GA,0.016541505,-0.00433662,0.000555355,8.71638E-05
GA,0.017540223,-0.002579804,-0.001017795,0.00624301
GA,0.009511931,-0.006604578,-0.001241436,0.005135268
GA,0.010321711,0.003207946,0.00110383,-0.002677102
GA,0.00328389,-0.003307622,-0.00014947,0.002956645
GA,0.002894217,-0.012638714,0.000252007,-0.000264883
GA,0.006696579,0.003971572,-0.000141262,0.002176788
GA,0.01494054,0.004779056,0.001107485,-0.002261718
GA,0.012421099,0.002346165,0.001329838,-0.003104607
GA,0.001548757,0.005605597,0.000557248,-0.001155287
GA,0.006135862,-0.009001324,0.000485061,-0.000298578
GA,-0.021040125,0.001071305,0.001845218,-0.007394643
GA,0.019524294,0.000379347,-0.000677349,0.00448238
GA,0.001738998,0.010978395,0.0008235,0.003619134
GA,0.005707268,-0.008398071,0.000515554,-0.002249536
GA,0.016914068,0.000868218,5.78058E-05,0.002598821
GA,0.002917992,-0.007112277,0.000982315,-0.002950037
GA,0.014466196,-0.00305454,0.000492052,-0.000335153
GA,0.019071609,0.004166689,0.000400171,-2.89379E-05
GA,0.013386056,0.006662506,0.001289337,-0.002195109
GA,0.007938073,-0.006688723,0.00123688,-0.004244916
GA,0.001548125,-0.009631612,-0.000189113,0.002068608
GA,0.010621448,-0.006893413,-0.000659379,0.004191211
GA,0.014634798,0.002118499,0.001420766,-0.002780787
GA,0.011775879,0.003324249,0.000119823,0.00221789
GA,0.000354407,-0.009052555,0.000769256,-0.000410202
GA,-0.004531098,0.004396186,0.000138854,0.002429628
GA,-0.009656534,-0.00230451,0.001300486,-0.00729135
GA,0.009221871,0.001047442,2.54738E-05,0.002385435
GA,0.004268666,-0.000685163,-6.32597E-05,0.00324302
GA,0.019300263,0.001658668,0.00027347,0.001150718
GA,0.018905732,0.004431229,0.00056076,-0.000153321
GA,0.020894432,0.003790372,-0.00053774,0.003630936
GA,-0.002068435,-0.007020301,0.000712533,-0.001993597
GA,0.008907429,0.010056057,0.00133012,-0.002482483
GA,0.00233702,0.006090864,0.000601914,0.000694664
GA,0.017154789,0.002632566,2.10128E-05,0.001747367
GA,0.011077594,0.001547109,-6.73642E-05,0.002793423
GA,0.008496571,0.001276148,1.4955E-05,0.001647952
GA,-0.011081375,-0.017912551,9.52703E-05,-0.000556403
GA,0.012904263,0.000605383,0.000674775,-0.001484967
GA,-0.021230516,0.002152965,-0.001208484,0.004622701
GA,-0.000180055,-0.007680218,-0.0017627,0.010059251
GA,0.015680655,0.000400021,-0.000376539,0.004132155
GA,0.009050145,-0.000194159,0.000728879,-0.000130446
GA,0.020924328,0.004127251,4.85227E-05,0.000930327
GA,0.000993708,-0.005298286,0.000555656,-7.40082E-05
GA,0.005808183,-0.015117974,-0.001394039,0.008680542
GA,0.017284084,0.003994643,0.00015997,0.002401586
GA,-0.001003139,0.000513068,-0.000193587,0.002114436
GA,0.002399883,-0.00170475,-0.000309952,0.003473104
GA,0.010543644,0.003928167,0.000469008,0.001067858
GA,0.006842848,0.007118909,-0.00033728,0.004757151
GA,0.020933928,0.003679461,-0.000737578,0.004762733
GA,0.002859934,-0.002716964,0.000188229,5.34146E-06
GA,0.002245692,-0.006609444,0.000615174,0.001004115
GA,-0.017995653,-0.016281498,0.000657349,-0.006419953
GA,0.019883265,0.001425265,-0.000429752,0.002823677
GA,-0.011354902,-0.006922643,-1.23773E-05,-0.001318206
GA,0.005275827,-0.002510588,0.00046561,-0.001531717
GA,-0.021410354,-9.44417E-06,0.000748543,-0.004367583
GA,-0.0029195,-0.000507641,0.001898171,-0.007097874
GA,0.021467058,0.003837357,-0.000679947,0.003927193
GA,0.011323699,0.00157181,0.001023966,-0.001555445
GA,0.019783848,0.001441831,7.22627E-05,0.00125061
GA,0.009257182,0.004766413,0.000518558,0.000179736
GA,0.008331955,-0.003179587,-0.000472844,0.003219368
GA,0.007479232,-0.001967361,0.001066328,-0.003727564
GA,0.013904665,-0.001423164,0.000798664,-0.001807121
GA,-0.00170813,0.000115646,-0.000367572,0.004974929
GA,0.013785913,0.001041929,0.000533502,-0.00067134
GA,-0.003157653,-0.000725257,0.000311112,0.002279214
GA,-0.012015303,-0.000615843,0.001101406,-0.005873885
GA,0.02152656,0.003919353,-0.00054134,0.003643292
GA,0.016614737,-0.00106,0.000809644,-0.001299273
GA,-0.012483652,-0.00022851,0.001943272,-0.006752151
GA,0.003024062,-0.01018565,0.00016506,0.001552078
GA,0.006199533,0.000992356,0.000898279,-0.002125567
GA,-0.006257776,-0.01297737,0.001236901,-0.005869146
GA,-0.01206365,0.00273699,-0.000683164,0.002603491
GA,0.00309636,0.002090488,0.000626445,-0.003574519
GA,-0.021576325,0.014663915,0.003706672,0.017198807
GA,-0.009698638,-0.005862295,0.000984385,-0.004572353
GA,0.013129757,0.004282147,0.000866988,-0.001240112
GA,0.001350314,0.000443356,0.001181071,-0.003192402
GA,0.021204644,0.003923721,-0.000406139,0.003732435
GA,-0.009285653,-0.000862205,0.000858632,-0.005875592
GA,0.015538281,-0.000756353,0.000621491,-0.000924648
GA,0.01212166,0.001786124,0.000272453,0.000754711
GA,-0.006801649,0.003241616,0.001400505,-0.004970762
GA,0.010105097,-0.005051901,-0.00015795,0.001851042
GA,0.001664258,0.001146551,7.90177E-05,0.001406169
GA,0.010261927,-0.000897297,-0.000988662,0.006086037
GA,0.013537016,0.001157334,0.000481463,0.000436114
GA,0.020699871,0.002142765,-0.001062857,0.00565003
GA,0.001054737,-0.01421335,0.000373447,0.001398216
