Sample,FFT_#,q#,Vol_wt
CMP,9,4,74290.5742
CMP,9,6,99805.20777
CMP,8,6,179850.2232
CMP,8,4,44214.06269
CMP,8,7,98937.15599
CMP,9,7,18117.19353
CMP,9,6,141937.4904
CMP,7,6,132837.5507
CMP,8,6,116459.4317
CMP,7,5,121115.0816
CMP,9,7,63271.30983
CMP,7,5,69215.05571
CMP,9,4,689.3201312
CMP,8,6,69180.75439
CMP,8,5,112793.5847
CMP,9,6,107253.1815
CMP,8,5,130810.7135
CMP,10,9,3951.452593
CMP,7,6,72225.11038
CMP,10,5,245778.67
CMP,7,7,112397.5979
CMP,10,5,117449.6508
CMP,10,6,103004.4464
CMP,8,6,44522.10992
CMP,10,10,281145.4969
CMP,11,9,3399.063004
CMP,7,7,80407.11039
CMP,9,7,38787.33562
CMP,8,5,111873.1088
CMP,12,10,49521.99873
CMP,8,10,127318.2322
CMP,6,7,87209.23127
CMP,9,5,137284.7026
CMP,10,5,146306.5078
CMP,9,7,77763.99789
CMP,8,4,125420.4604
CMP,12,8,270666.128
CMP,8,6,147578.0378
CMP,10,6,93182.16601
CMP,11,8,98658.67162
CMP,9,6,70835.89042
CMP,13,8,95413.76405
CMP,9,7,68542.8756
CMP,13,6,156066.961
CMP,9,9,74656.67001
CMP,9,4,164758.4841
CMP,11,9,65653.13633
CMP,7,5,61096.9221
CMP,7,5,67497.79068
CMP,11,9,94810.33453
CMP,8,7,150746.1184
CMP,10,5,126166.7075
CMP,8,7,175241.829
CMP,10,6,55096.7902
CMP,6,5,182349.5002
CMP,8,5,107316.8302
CMP,9,6,104049.4577
CMP,11,6,118442.587
CMP,7,5,82867.92619
CMP,8,6,81768.76921
CMP,9,6,109054.9984
CMP,7,5,87595.39215
CMP,10,10,129885.8886
CMP,11,5,83013.86822
CMP,9,4,122841.2369
CMP,11,8,97485.69935
CMP,9,5,106609.8486
CMP,8,5,156634.8843
CMP,11,11,136879.1961
CMP,9,7,94116.87494
CMP,8,6,61902.74446
CMP,7,6,71376.5981
CMP,11,10,98681.89176
CMP,11,5,102612.4826
CMP,7,4,134146.0032
CMP,5,7,601.1470192
CMP,7,4,104640.3176
CMP,9,5,97370.22601
CMP,7,7,70158.48696
CMP,12,14,403504.6072
CMP,7,7,58090.45123
CMP,8,7,163594.8782
CMP,9,6,55173.23495
CMP,8,8,55096.7902
CMP,8,7,598.3247606
CMP,6,5,122866.1427
CMP,10,5,84544.14173
CMP,8,5,155553.6915
CMP,8,8,130785.2059
CMP,9,5,85972.92277
CMP,9,6,108479.8926
CMP,10,8,42188.51757
CMP,8,6,209742.6673
CMP,9,6,128895.6596
CMP,8,5,162497.8666
CMP,9,6,98720.50361
CMP,9,8,69627.73035
CMP,10,8,88019.28413
CMP,8,5,112615.7062
CMP,9,4,85773.59606
CMP,11,6,124842.9829
CMP,8,4,68228.07731
CMP,8,10,4625.363341
CMP,11,6,393039.924
CMP,9,13,280937.1995
CMP,9,5,100730.2868
CMP,11,11,330790.5995
CMP,12,13,185470.7734
CMP,8,6,87915.14808
CMP,9,5,49288.68205
CMP,11,6,81623.56094
CMP,10,11,253967.7746
CMP,7,4,81797.80816
CMP,9,5,141405.3657
CMP,9,8,51981.4158
CMP,9,6,120445.0956
CMP,9,6,30285.11176
CMP,9,7,92954.71669
CMP,10,6,156003.8919
CMP,10,9,15654.01147
CMP,8,6,145892.2979
CMP,8,7,91066.14634
CMP,8,6,49718.72287
CMP,10,6,79247.14226
CMP,7,4,132837.5507
CMP,8,5,3271.560956
CMP,12,8,32389.91483
CMP,8,4,123657.2904
CMP,11,7,109695.1605
CMP,11,7,89130.70098
CMP,11,8,85088.18597
CMP,11,11,152307.3478
CMP,10,7,115358.0085
CMP,8,4,157194.428
CMP,10,7,48933.22399
CMP,9,4,101814.5012
CMP,10,6,29884.37886
CMP,10,7,70669.80905
CMP,9,6,89594.56869
CMP,9,5,111744.1192
CMP,8,5,74952.83688
CMP,9,9,47471.70661
CMP,10,6,118040.1629
CMP,10,7,302543.0988
CMP,11,8,147949.5646
CMP,8,6,95047.02144
CMP,10,8,4218.930039
CMP,11,7,107428.1208
CMP,7,7,673.124296
CMP,7,5,136146.8512
CMP,11,5,123240.678
CMP,9,7,85692.44045
CMP,10,7,208689.678
CMP,11,10,305671.3078
CMP,11,6,104695.5271
CMP,9,6,196144.0317
CMP,7,6,103601.1451
CMP,11,8,170534.3003
CMP,9,6,100115.8284
CMP,7,7,31466.231
CMP,10,7,132811.912
CMP,9,5,106324.3373
CMP,8,7,263.5697373
CMP,8,6,82532.53884
CMP,12,7,213111.9842
CMP,10,9,93280.85747
CMP,8,5,113935.4563
CMP,10,5,93842.99307
CMP,7,7,1808.262451
CMP,9,6,77335.80728
CMP,7,5,53739.80564
CMP,9,6,113173.7825
CMP,7,4,75397.75605
CMP,8,7,69352.56414
CMP,9,11,45767.35909
CMP,10,8,5121.750741
CMP,10,4,156698.0383
CMP,7,5,134814.7521
CMP,8,7,58349.8563
CMP,9,5,93827.79279
CMP,11,7,44979.5673
CMP,8,4,127688.8489
CMP,10,5,94421.48482
CMP,10,7,56689.87552
CMP,9,7,29258.25975
CMP,9,8,76169.57153
CMP,9,7,48298.06649
CMP,9,10,163009.4773
CMP,8,10,619.5994087
CMP,7,5,23289.49503
CMP,9,5,89744.35507
CMP,10,11,60688.73051
CMP,10,8,104506.2577
CMP,9,5,114585.0108
CMP,11,7,123682.3259
CMP,13,6,109486.9924
CMP,13,8,74079.68416
CMP,9,6,122359.038
CMP,12,7,262331.6064
CMP,8,6,315.5700874
CMP,6,4,118993.5847
CMP,7,5,127671.9296
CMP,10,5,113611.1409
CMP,10,6,93045.647
CMP,10,7,69043.42121
CMP,6,6,60688.73051
CMP,11,7,125772.4684
CMP,7,3,140186.6207
CMP,8,7,47635.39094
CMP,9,6,84345.92626
CMP,9,8,79858.8485
CMP,9,5,90457.02874
CMP,8,8,56323.84822
CMP,9,7,99409.6369
CMP,13,8,40103.15094
CMP,9,22,199234.0848
CMP,9,4,127511.9137
